Employer,Union,Union Local,Case Number,BU,NAICS,Industry,"City, State",# Idled,Start Date,End Date,Duration
US Foodservice,IBT Local 455,,2016N0400946,,,Accommodation and Food Services,"Centennial, CO",280.0,2016-10-24,2016-10-31,
AT&T Pacific Bell Telephone Company d/b/a AT&T West,CWA District 9,,2016N0501196,,,Information,"California and Nevada, CA",1700.0,2016-05-20,2016-05-26,
AT&T Pacific Bell Telephone Company d/b/a AT&T West,CWA District 9,,2016N0501196,,,Information,"California and Nevada, CA",15916.0,2017-03-22,2017-03-23,
AT&T Pacific Bell Telephone Company d/b/a AT&T West,CWA District 9,,2016N0501196,,,Information,"California and Nevada, CA",15916.0,2017-05-20,2017-05-22,
Mexican American Opportunity Foundation,SEIU Local 521,,2016N0501365,,,Educational Services,"Salinas, CA",100.0,2016-05-13,2016-05-20,
Hecla Limited-Lucky Friday Unit,USW Local 5114,,2016N0501628,250.0,21.0,Mining and Oil & Gas Extraction,"Mullan, ID",,2017-03-13,,1024.0
Triumph Composite Systems,IAMAW District 751,,2016N0502835,,,Manufacturing,"Spokane, WA",403.0,2016-05-12,2016-06-23,
Just Born Incorporated,BCTGM Local 6,,2016N0502836,,,Manufacturing,"Bethlehem, PA",339.0,2016-09-07,2016-09-30,
CHESTNUT HILL REHABILITATION HOSPITAL,SEIU Healthcare Pennsylvania CTW CLC Local N/A,,2016N0502980,,,Health Care and Social Assistance,"Philadelphia, PA",80.0,2016-07-23,2016-07-23,
Libbey Glass,IAMAW Local 1346,,2016N0503470,,,Manufacturing,"Toledo, OH",111.0,2016-10-13,2016-10-25,
Libbey Glass,GMP Local ,,2016N0503696,,,Manufacturing,"Toledo, OH",111.0,2016-10-13,2016-10-25,
Watsonville Community Hospital SVC & MT,SEIU-UHW Local 2005,,2016N0503850,,,Health Care and Social Assistance,"Watsonville, CA",148.0,2017-05-17,2017-05-17,
Watsonville Community Hospital SVC & MT,SEIU-UHW Local 2005,,2016N0503850,,,Health Care and Social Assistance,"Watsonville, CA",148.0,2017-06-15,2017-06-17,
Alutiiq 3SG LLC,IAMAW Local 850,,2016N0503894,,,Support Serv. & Waste Management,"Tinker AFB, OK",242.0,2016-08-01,2016-11-20,
Federal Mogul Corporation,USW Local 14742,,2016N0504058,,,Manufacturing,"Van Wert, OH",326.0,2016-11-14,2016-11-30,
Milbank Manufacturing Concordia Facility,IBEW Local 124,,2016N0504136,,,Manufacturing,"Concordia, MO",100.0,2016-09-27,2016-10-11,
"Dominion Transsmission, Inc. & Dominion Hope",UWUA Local 69,,2016N1000701,,,Utilities,"Bridgeport, WV",980.0,2016-09-07,2016-09-15,
Harvard University,Unite Here Local 26,,2016N1000821,,,Accommodation and Food Services,"Cambridge, MA",500.0,2016-10-05,2016-10-26,
Tornado Bus Company,IAMAW Local N/A,,2016N1001131,,,Transportation and Warehousing,"Dallas, TX",100.0,2016-07-16,2016-07-22,
"W.E. Aubuchon Company, Inc.",IBT  Local 170,,2016N1001207,,,Transportation and Warehousing,"Westminster, MA",65.0,2016-11-07,2016-11-21,
"ABC Supply Co., Inc. d/b/a Bradco Supply Corporation",IBT Local 25,,2016N1001211,,,Manufacturing,"Woburn, MA",40.0,2016-05-07,2016-09-09,
"Transit Connection, Inc.",ATU 1548,1548,2016N1001359,37.0,48.0,Transportation and Warehousing,"Edgartown, MA",35.0,2019-06-28,2019-07-28,31.0
Ryder Truck,IBT Local 59,,2016N1002002,,,Transportation and Warehousing,"New Bedford, MA",13.0,2016-11-01,2017-01-11,
Painters DC 2 Painting & Decorating Foundation Chapter 2,District Council 58 Local ,,2016N1002019,,,Construction,"St. Louis, MO",1400.0,2016-09-02,2016-09-06,
Painters DC 2 Painting & Decorating Foundation Chapter 2,District Council 58 Local ,,2016N1002019,,,Construction,"St. Louis, MO",1400.0,2016-09-29,2016-10-03,
Branding Iron Holdings LLC,UFCW Local 655,,2016N1002135,,,Retail Trade,"SAUGET, IL",274.0,2017-03-18,2017-04-11,
American Pulverizer Company,IAMAW District 9,,2016N1002188,,,Manufacturing,"St. Louis, MO",20.0,2016-10-31,2017-03-24,
Avalon Health Care - Hale Nani Rehab & Nursing Center,Unite Here Local 5,,2016N1200017,,,Health Care and Social Assistance,"Honolulu, HI",250.0,2016-05-16,2016-05-19,
Kaiser Foundation Hospitals,California Nurses Association/National Nurses United (CNA) Local N/A,,2016N1200157,,,Health Care and Social Assistance,"Los Angeles, CA",1114.0,2016-03-15,2016-03-22,
Kaiser Foundation Hospitals,California Nurses Association/National Nurses United (CNA) Local N/A,,2016N1200157,,,Health Care and Social Assistance,"Los Angeles, CA",1114.0,2016-06-23,2016-06-27,
Richmond Baking Company,BCGTM (Bakery Workers) Local 372-B,,2016N1200260,,,Accommodation and Food Services,"Richmond, IN",110.0,2016-01-04,2016-01-12,
Ilikai Hotel,Unite Here 5,5,2016N1200324,60.0,72.0,Accommodation and Food Services,"Honolulu, HI",40.0,2017-10-20,2017-10-20,1.0
Performance Food Group Inc. d/b/a Vistar Southern California,IBT Local 630,,2016N1200754,,,Transportation and Warehousing,"Los Angeles, CA",80.0,2017-06-12,2017-06-13,
Performance Food Group Inc. d/b/a Vistar Southern California,IBT Local 630,,2016N1200754,,,Transportation and Warehousing,"Los Angeles, CA",80.0,2017-08-23,2017-10-16,
Performance Food Group Inc. d/b/a Vistar Southern California,IBT 630,630,2016N1200754,80.0,48.0,Transportation and Warehousing,"Los Angeles, CA",80.0,2017-11-05,2017-11-29,25.0
West Fuels,IBT 705,705,2016N1200891,4.0,72.0,Accommodation and Food Services,"LaGrange, IL",4.0,2017-10-02,2017-11-27,57.0
Coral Trace Health Care,SEIU Florida Healthcare United Worker East Local 1199,,2016N1201100,,,Health Care and Social Assistance,"Cape Coral, FL",40.0,2016-04-14,2016-04-14,
SMARCA Inc. - Architectural Subdivision,SMW Local 10,,2016N1201116,,,Construction,"Metro Area/Minneapolis/St. Paul, MN",615.0,2016-05-02,2016-05-09,
 HarbisonWalker International (formerly ANH Refractories),USW Local 133,,2016N1201215,,,Manufacturing,"South Shore, KY",110.0,2016-10-10,2017-02-03,
Trane Manufacturing Plant,UAW Local 912,,2016N1201283,,,Manufacturing,"Lexington, KY",585.0,2016-02-28,2016-04-10,
Honeywell International Inc.,UAW Local 1508,,2016N1202032,,,Manufacturing,"South Bend, IN",390.0,2016-05-09,2017-03-19,
Loyola University Chicago,SEIU CLC/CTW 73,73,2016N1202360,360.0,61.0,Educational Services,"Chicago, IL",360.0,2018-04-04,2018-04-04,1.0
HHS LLC,SEIU Healthcare Pennsylvania Local N/A,,2016N1202617,,,Not Provided,"Philadelphia, PA",80.0,2016-07-23,2016-07-23,
Trump Taj Mahal,Unite Here Local 54,,2016N1202660,,,Accommodation and Food Services,"Atlantic City , NJ",1000.0,2016-07-01,2016-09-29,
Providence Health & Services Washington d/b/a Providence Hospice and Home Care of Snohomish County,SEIU Healthcare 1199NW,1199NW,2016N1202986,200.0,62.0,Health Care and Social Assistance,"Everett, WA",125.0,2017-12-06,2017-12-08,3.0
BAE Systems,IAMAW Local 830,,2016N1203196,,,Manufacturing,"Louisville, KY",125.0,2016-08-22,2016-09-02,
Stericycle,IBT Local 107,,2016N1203458,,,Transportation and Warehousing,"Hatfield, PA",16.0,2016-10-23,2016-10-28,
Pittsburgh Symphony Inc.,Pittsburgh Musicians’ Union Local 60-471,,2016N1203481,,,"Arts, Entertainment and Recreation","Pittsburgh, PA",101.0,2016-09-30,2016-11-23,
Beam Suntory,UFCW AFL-CIO CLC Local 111D,,2016N1203490,,,Accommodation and Food Services,"Clermont, KY",254.0,2016-10-15,2016-10-21,
East-Land Food Products Inc.,UFCW 328,328,2016N1203495,105.0,,Not Provided,"Cranston, RI",105.0,2018-02-27,2018-02-27,1.0
Prospect Medical Holdings (DCMH Tech),PASNAP Local N/A,,2016N1203601,,,Health Care and Social Assistance,"Drexel Hill, PA",150.0,2017-03-05,2017-03-09,
Controlled Environmental Certification Services Inc. d/b/a Micro-Clean Inc.,SMW Local 19,,2016N1203968,,,Not Provided,"Bethlehem, PA",41.0,2017-02-15,2017-03-01,
Mayo Clinic Albert Lea and Austin General,SEIU HC MN,HC MN,2016N1204048,80.0,62.0,Health Care and Social Assistance,"Albert Lea, MN",80.0,2017-12-19,2017-12-19,1.0
American Addiction Centers Inc.,HPAE/AFT AFL-CIO Local N/A,,2016N1204088,,,Health Care and Social Assistance,"Lafayette Township, NJ",125.0,2017-05-24,2017-06-19,
American Addiction Centers Inc.,HPAE/AFT AFL-CIO Local N/A,,2016N1204088,,,Health Care and Social Assistance,"Lafayette Township, NJ",125.0,2017-05-27,2017-06-19,
"Range Generation Next, LLC",IBT Local 986,,2016N1204444,,,Not Provided,"Santa Maria, CA",13.0,2017-02-07,2017-02-13,
Watsonville Community Hospital - Professional Unit,SEIU-UHW Local 2005,,2016N1204512,,,Health Care and Social Assistance,"Watsonville, CA",21.0,2017-05-17,2017-05-17,
Watsonville Community Hospital - Professional Unit,SEIU-UHW Local 2005,,2016N1204512,,,Health Care and Social Assistance,"Watsonville, CA",21.0,2017-06-15,2017-06-17,
Midway Building Services,LIUNA  Construction & General Laborers DC of Chicago Local 681,,2016N1300019,,,Support Serv. & Waste Management,"Chicago, IL",40.0,2017-07-21,2017-07-28,
SimplexGrinnell,Road Sprinkler Fitters Local 669,,2016N1500513,,,Construction,"Baltimore, MD",18.0,2016-07-15,2017-04-28,
Roemer Industries,USW 4427-1,4427-1,2016N1500635,20.0,31.0,Manufacturing,"Masury, OH",20.0,2018-09-05,2018-09-20,16.0
The Philadelphia Orchestra Association,American Federation of Musicians Local 77,,2016N1800024,,,"Arts, Entertainment and Recreation","Philadelphia, PA",97.0,2016-09-30,2016-10-02,
Bosio Metal Specialties Inc,SMART Local 19,,2016N1800127,,,Manufacturing,"North Wales, PA",10.0,2017-01-25,2017-05-12,
Charter/Spectrum,IBEW 3,3 ,201708590001,1800.0,54.0,"Professional, Scientific &Tech Serv","New York, NJ",1800.0,2017-03-29,,1130.0
Aristacare at Delaire,SEIU (UHWE) 1199,1199,201709870071,150.0,62.0,Health Care and Social Assistance,", ",150.0,2018-01-15,2018-01-15,1.0
San Benito Foods (Neil Jones Food Co.),IBT Local 890,,201710420057,,,Accommodation and Food Services,"Hollister, CA",80.0,2017-06-23,2017-06-27,
Wright State University,AAUP,,201710480119,650.0,61.0,Educational Services,"Dayton, OH",650.0,2019-01-22,2019-02-10,20.0
Portage County BDD,OEA,,201710690049,18.0,61.0,Educational Services,"Ravenna, OH",18.0,2017-10-04,2017-11-22,50.0
Rockford School Dist. #205,AFSCME COUNCIL 31  Local 3210 (NUTRITIONAL SERVICES),,201711180001,,,Educational Services,"ROCKFORD, IL",178.0,2017-03-15,2017-03-20,
Berkshire Medical Center,MNA,,201711320031,800.0,62.0,Health Care and Social Assistance,", ",800.0,2017-10-03,2017-10-07,5.0
Centerra - SRS,United Protective Pro-Source SR Local 125,,201711530040,,,"Professional, Scientific &Tech Serv","Aiken, SC",349.0,2017-08-15,2017-10-08,
COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15 (Palatine),IEA Palatine Office,Palatine Office,201711820079,400.0,61.0,Educational Services,"Palatine, IL",400.0,2017-10-16,2017-10-30,15.0
Wine & Spirits of New York vicinity,UFCW/WLDWU 1-D,1-D,201790010004,400.0,72.0,Accommodation and Food Services,"Syosset, NY",400.0,2017-11-01,2017-11-03,3.0
Chicago/Suburban Auto Dealers (37),IAMAW Local 701,,201790150012,,,"Professional, Scientific &Tech Serv","Various Locations, IL",402.0,2017-08-01,2017-09-18,
Airgas Inc.  ,IBT  Local 251,,2017N0300490,,,Transportation and Warehousing,"East Greenwich, RI",8.0,2017-05-30,2017-07-11,
Clare Rose Dist.,IBT Local 812,,2017N0300736,,,Transportation and Warehousing,"Yaphank, NY",136.0,2017-04-23,2017-07-15,
Clifford Metals,IBT Local 493,,2017N0300862,,,Manufacturing,"Stonington, CT",18.0,2017-04-18,2017-05-04,
National Fire Sprinkler Association,Sprinkler Fitters UA Local 281,,2017N0301079,,,Construction,"Chicago, IL",917.0,2017-06-01,2017-06-15,
SDH Services West LLC,NUHW N/A,,2017N0301482,100.0,62.0,Health Care and Social Assistance,"Fountain Valley, CA",100.0,2018-02-01,2018-02-02,2.0
Bay Valley Foods,IBT 754,754,2017N0301687,94.0,31.0,Manufacturing,"Pecatonica, IL",85.0,2017-11-12,2018-04-30,170.0
Alside Supply Center,IBT Local 807,,2017N0301722,,,Transportation and Warehousing,"Old Bethpage, NY",16.0,2017-04-01,2017-08-18,
"UTGR, Inc. d/b/a Twin River Casino (Main./Shuttle)",IBT Local 251,,2017N0302270,,,"Arts, Entertainment and Recreation","Lincoln, RI",23.0,2017-07-07,2017-07-09,
"UTGR, Inc. d/b/a Twin River Casino (Valets unit)",IBT Local 251,,2017N0302271,,,"Arts, Entertainment and Recreation","Lincoln, RI",41.0,2017-07-07,2017-07-09,
Waldner's Business Environments,IBT Local 814,,2017N0302309,,,Transportation and Warehousing,"Farmingdale, NY",35.0,2017-07-02,2017-08-30,
DHLNH LLC,IBT 251,251,2017N0302805,28.0,48.0,Transportation and Warehousing,"Pawtucket, RI",28.0,2018-04-30,2018-07-01,63.0
The New School,UAW 7902,7902,2017N0302944,1000.0,61.0,Educational Services,"New York, NY",1000.0,2018-05-08,2018-05-11,4.0
Fairbanks Scales Inc.,UE 234,234,2017N0303021,75.0,31.0,Manufacturing,"St Johnsbury, VT",75.0,2017-10-31,2017-11-08,9.0
Anthony Jordan Health Care,SEIU/UHWE 1199,1199,2017N0303029,65.0,62.0,Health Care and Social Assistance,"Rochester, NY",65.0,2018-04-30,2018-05-01,2.0
Anthony Jordan Health Care,SEIU/UHWE 1199,1199,2017N0303029,65.0,62.0,Health Care and Social Assistance,"Rochester, NY",65.0,2018-06-05,2018-06-07,3.0
"Mahle Engine Components USA, Inc.",IAMAW Local 1471,,2017N0401151,,,Manufacturing,"McConnelsville, OH",53.0,2017-08-20,2017-08-30,
Welfare and Pension Administration Services Inc.,OPEIU Local 8,,2017N0500210,,,Utilities,"Seattle, WA",101.0,2017-08-23,2017-09-25,
Axle Tech International,UAW Local 291,,2017N0500265,,,Manufacturing,"Oshkosh, WI",57.0,2017-02-06,2017-02-12,
Midway Inc,IAMAW Local 1363,,2017N0500307,,,Transportation and Warehousing,"Monroeville, OH",20.0,2017-05-18,2017-05-20,
Spartan College of Aeronautics & Technology,UAW Local 286,,2017N0500925,,,Educational Services,"Tulsa, OK",50.0,2017-07-24,2017-07-27,
Dr. Pepper/Snapple Group,IBT Local 413,,2017N0500942,,,Transportation and Warehousing,"Columbus, OH",70.0,2017-05-24,2017-05-26,
Queen of the Valley Medical Center,NUHW Local N/A,,2017N0500974,420.0,62.0,Health Care and Social Assistance,"Napa, CA",,2019-11-20,2019-11-20,1.0
"UP Health System, Marquette",MNA (MI Nurses Assoc),,2017N0501039,450.0,62.0,Health Care and Social Assistance,"Marquette, MI",450.0,2017-10-05,2017-10-06,2.0
Veneer Chip Transport,IBT Local 313,,2017N0501117,,,Transportation and Warehousing,"Tacoma, WA",57.0,2017-07-17,2017-10-31,
Southeastern Michigan Roofing Contractor Association,RWAW Local 149,,2017N0501503,,,Construction,"Metro Detroit Area, MI",1020.0,2017-06-01,2017-06-11,
Coca Cola Refreshments,IBT Local 24,,2017N0501671,,,Transportation and Warehousing,"Akron, OH",174.0,2017-06-27,2017-07-03,
"The Insulation Contractors Associationof NYC, Inc.",The Int'l Assn. of Heat & Frost Insulators and Allied Workers of NYC Local 12,,2017N0501824,,,Construction,"Long Island City, NY",330.0,2017-07-29,2017-08-14,
Advanced Disposal Services,IUOE 324,324,2017N0501937,19.0,56.0,Support Serv. & Waste Management,"Northville, MI",19.0,2017-10-09,2017-10-13,5.0
Alliance Tubular Products,USW Local 3059-01,,2017N0502509,,,Manufacturing,"Alliance, OH",208.0,2017-08-18,2017-10-14,
"First Student, Inc.",IBT 174,174,2017N0502672,400.0,48.0,Transportation and Warehousing,"Seattle, WA",287.0,2017-11-28,2017-11-28,1.0
"First Student, Inc.",IBT 174,174,2017N0502672,400.0,48.0,Transportation and Warehousing,"Seattle, WA",287.0,2018-02-01,2018-02-09,9.0
Oakland Airport Hilton,IUOE 39,39,2017N0502842,6.0,72.0,Accommodation and Food Services,"Oakland, CA",6.0,2018-10-09,2018-11-02,25.0
Sand and Gravel Inc.,IBT Local 174,,2017N0502879,,,Transportation and Warehousing,"Seattle, WA",297.0,2017-08-12,2017-08-18,
Harbison Walker International,USW District ,,2017N0502899,,,Manufacturing,"Windham, OH",86.0,2017-09-30,2017-10-21,
Providence Little Company of Mary Medical Center San Pedro,CNA,,2017N0503371,340.0,62.0,Health Care and Social Assistance,"San Pedro, CA",340.0,2018-11-27,2018-12-02,6.0
"Metso Minerals Industries, Inc.",IAMAW  District 9,,2017N1000349,,,Manufacturing,"Warrenton, MO",32.0,2017-03-05,2017-03-19,
Baystate Franklin Medical Center,MNA Local ,,2017N1000500,,,Health Care and Social Assistance,"Greenfield, MA",208.0,2017-06-25,2017-06-28,
Baystate Franklin Medical Center,MNA,,2017N1000500,208.0,62.0,Health Care and Social Assistance,"Greenfield, MA",208.0,2018-04-10,2018-04-13,4.0
GNB Industrial Power / Exide Tech.,IBEW Local 700,,2017N1000697,,,Manufacturing,"Fort Smith, AR",168.0,2017-04-25,2017-05-08,
"Timken Products, LLC",United Steelworkers Local 662L,,2017N1001222,,,Manufacturing,"Springfield , MO",287.0,2017-08-29,2017-08-30,
Georgia Pacific Wood Products,Carpenters Industrial Council 2086,2086,2017N1001329,290.0,31.0,Manufacturing,"Taylorsville, MS",290.0,2018-03-29,2018-04-16,19.0
Frontier Communications Inc.,CWA 2-13,2-13,2017N1001496,1598.0,51.0,Information,"Charleston, WV",1598.0,2018-03-04,2018-03-27,24.0
Reyco Granning LLC,IBT Local 245,,2017N1001515,,,Not Provided,"Mt. Vernon, MO",99.0,2017-08-14,2017-08-24,
Quality Beverage Inc.,IBT  Local 170,,2017N1001650,,,Transportation and Warehousing,"Taunton, MA",52.0,2017-05-26,2017-06-19,
Walter A Furman Company,CJA  Local 51,,2017N1001994,,,Manufacturing,"Fall River, MA",40.0,2017-08-01,2017-08-03,
Christian Care Nursing Home,SEIU Healthcare MO/KS,MO/KS,2017N1002016,200.0,62.0,Health Care and Social Assistance,"St. Louis, MO",200.0,2017-11-30,2018-03-13,104.0
Independent Pipe & Supply,IBT Local 25,,2017N1002033,,,Manufacturing,"Canton, MA",32.0,2017-08-07,2017-09-29,
"Wyman-Gordon Forgings, Inc.",IAMAW District 37,,2017N1002151,,,Manufacturing,"Houston, TX",275.0,2017-08-20,2017-09-11,
Schagrin Gas Company,IBT 326,326,2017N1002338,15.0,22.0,Utilities,"Middletown, DE",15.0,2017-11-08,2017-12-21,44.0
Silgan Can Company,UFCW 540,540,2017N1002595,66.0,72.0,Accommodation and Food Services,"Paris, TX",66.0,2018-03-05,2018-03-15,11.0
Tecnocap LLC,"Glass, Molders, Pottery, Plastics & Allied Workers 152",152,2017N1002748,70.0,31.0,Manufacturing,"Glendale, WV",70.0,2018-03-13,2018-03-22,10.0
Caddy Corporation,SMART Local 19,,2017N1200040,,,Manufacturing,"Bridgeport, NJ",30.0,2016-12-01,2016-12-12,
Saputo Dairy Foods,IUOE Stationary Engineers Local 39,,2017N1200124,,,Manufacturing,"Gustine, CA",40.0,2017-01-01,2017-04-18,
Sumco LLC,USW Local 1999-10,,2017N1200542,,,Manufacturing,"Indianapolis, IN",63.0,2017-03-08,2017-03-11,
Shore Point Distributors,IBT Local 701,,2017N1201123,,,Wholesale Trade,"Freehold, NJ",90.0,2017-05-01,2017-06-16,
Westinghouse Electric Co.,IBB Local 651,,2017N1201380,,,Manufacturing,"Newington, NH",160.0,2017-05-22,2017-06-04,
"SMARCA Inc. - Rochester Subdivision of Sourthern, MN",SMW Local 10,,2017N1201473,,,Construction,"Rochester, MN",165.0,2017-05-01,2017-05-11,
New Jersey Insulation and Abatement Contractors Association Inc,Heat & Frost Insulators Local 89,,2017N1201696,,,Construction,"Trenton, NJ",27.0,2017-06-30,2017-06-30,
First Student Inc. - Pasadena,IBT 572,572,2017N1203579,230.0,48.0,Transportation and Warehousing,"Pasadena, CA",230.0,2018-01-18,2018-01-31,14.0
L.L. Flex LLC,USW AFL-CIO CLC Local 1693-18,,2017N1203613,,,Manufacturing,"Louisville, KY",75.0,2017-09-29,2017-12-04,
National Fire Sprinkler Association,Sprinkler Fitters UA Local 709,,2017N1203907,,,"Professional, Scientific &Tech Serv","Whittier, CA",938.0,2017-09-01,2017-09-01,
West Anaheim Medical Center,NUHW N/A,,2017N1203930,126.0,62.0,Health Care and Social Assistance,"Anaheim, CA",126.0,2018-08-09,2018-08-09,1.0
Henkel Corporation - Bay Point CA,IAMAW 1584,1584,2017N1203975,79.0,31.0,Manufacturing,"Bay Point, CA",79.0,2017-10-16,2017-12-19,65.0
Doubletree Hotel,IUOE Stationary Engineers 39,39,2017N1204235,7.0,72.0,Accommodation and Food Services,"San Jose, CA",7.0,2018-10-09,2018-11-02,25.0
Janus of Santa Cruz,NUHW N/A,,2017N1204251,53.0,62.0,Health Care and Social Assistance,"Santa Cruz, CA",53.0,2019-09-25,2019-09-25,1.0
Providence Tarzana Medical Center,NUHW N/A,,2017N1204276,589.0,62.0,Health Care and Social Assistance,"Tarzana, CA",589.0,2018-08-16,2018-08-21,6.0
CEMEX Hydroconduit,IBT Local 631,,2017N1800422,,,Construction,"Las Vegas, NV",75.0,2016-11-15,2017-01-23,
People First Federal Credit Union,Teamsters 773,773,2017N1800752,114.0,52.0,Finance and Insurance,"Allentown, PA",114.0,2018-08-10,2018-08-15,6.0
Cedar Haven Nursing Home,"AFSCME District 89, Council 13 2732",2732,2017N1800851,300.0,62.0,Health Care and Social Assistance,"Lebanon, PA",300.0,2017-10-20,2018-04-17,180.0
Alliance Tubular Products Company,USW Local 9305-05,,2017N1801127,,,Manufacturing,"Darlington, PA",140.0,2017-05-12,2017-05-26,
"Baumann Bus Company, Inc.",TWU 252,252,2017N1801419,350.0,48.0,Transportation and Warehousing,"Oceanside, NY",350.0,2017-11-06,2017-11-16,11.0
General Building Contractors Association Inc,IUOE Local 542,,2017N1801636,,,Construction,"Fort Washington , PA",2600.0,2017-06-27,2017-07-02,
"Johnson Controls, Inc.",UAW Local 1872,,2017N1801830,,,Manufacturing,"York, PA",212.0,2017-08-27,2017-09-17,
New Car Dealer Committee (c/o David P Radelet Esq),IAMAW Local 701,,2017N1802015,,,Not Provided,"Various, IL",1500.0,2017-08-01,2017-09-18,
Columbia College Chicago,Part-time Faculty Association at Columbia (P-fac),,2017N1802117,1000.0,61.0,Educational Services,"Chicago, IL",1000.0,2017-11-29,2017-12-04,6.0
Armstrong Flooring,USW 285,285,2017N1802363,191.0,31.0,Manufacturing,"Lancaster, PA",191.0,2019-07-02,2019-08-17,47.0
Toyal America Inc.,IBB 1600,1600,2017N1802944,40.0,31.0,Manufacturing,"Lockport, IL",40.0,2017-12-04,2017-12-14,11.0
"167 ALLISON,117 CORONA,CENTRAL PARK,MERMAID MEAT",UFCW 342,342,201809650005,37.0,44.0,Retail Trade,"New York, NY",37.0,2017-11-03,2017-11-10,8.0
First Group of America - First Student,Teamsters 404,404,201810500032,16.0,48.0,Transportation and Warehousing,"Pittsfield, MA",16.0,2018-12-03,2018-12-18,16.0
Michigan Painting & Drywall Contractor Associations,IUPAT Council 1M,Council 1M,201810870051,200.0,23.0,Construction,"Flint, MI",200.0,2018-06-01,2018-06-08,8.0
Camin Cargo Control,IBT #25 #25,#25,201811550032,5.0,21.0,Mining and Oil & Gas Extraction,"Chelsea, MA",5.0,2018-01-15,2018-02-28,45.0
SMACNA - Boston Chapter,Sheet Metal Workers 17,17,201811550061,1400.0,23.0,Construction,"Greater Boston, MA",1400.0,2018-08-01,2018-08-13,13.0
Four Roses Distillery LLC,UFCW AFL-CIO CLC 10D,10D,201811630094,35.0,72.0,Accommodation and Food Services,", ",25.0,2018-09-07,2018-09-21,15.0
Four Roses Distillery LLC,Firemen & Oilers Union (NCFO District-32BJ/SEIU) 320,320,201811630095,6.0,72.0,Accommodation and Food Services,", ",6.0,2018-09-07,2018-09-21,15.0
UNIVERSITY OF ILLINOIS,Graduate Employees Organization 6300,6300,201811740001,2800.0,61.0,Educational Services,"Champaign, IL",2800.0,2018-02-26,2018-03-12,15.0
Claymont City School Disrict,OAPSE 4,4,201811750057,70.0,61.0,Educational Services,", ",70.0,2019-03-22,2019-04-16,26.0
Geneva CUSD 304,"Geneva Education Association, IEA-NEA",,201811970094,450.0,61.0,Educational Services,"Geneva, IL",450.0,2018-12-04,2018-12-10,7.0
Hotels in Boston MA and Vicinity,UNITE HERE 26,26,201890010001,4120.0,72.0,Accommodation and Food Services,"Boston, MA",4120.0,2018-10-03,2018-11-17,46.0
W Diamond Group Corporation,CMRJB 61,61,201890050004,400.0,31.0,Manufacturing,"Des Plaines, IL",400.0,2019-02-12,2019-02-14,3.0
Chicago IL Hotels (Downtown) - ACTIVE W/HYATT,UNITEHERE 1,1,201890050006,5901.0,72.0,Accommodation and Food Services,"Chicago, IL",5000.0,2018-09-07,2018-10-11,35.0
Porcelen LTD CT LLC,PAT DC 11,11,2018N0300044,67.0,23.0,Construction,"Hamden, CT",67.0,2018-03-05,2018-04-02,29.0
Rhode Island Hospital - RN Bargaining Unit,UNAP 5098,5098,2018N0300755,1860.0,62.0,Health Care and Social Assistance,"Providence, RI",1860.0,2018-07-23,2018-07-27,5.0
Rhode Island Hospital - Technical Employee Bargaining Unit,UNAP 5098,5098,2018N0300756,580.0,62.0,Health Care and Social Assistance,"Providence, RI",580.0,2018-07-23,2018-07-27,5.0
"First Student, Inc. (Providence, RI barg. unit",IBT 251,251,2018N0301190,225.0,48.0,Transportation and Warehousing,"Providence, RI",225.0,2018-09-27,2018-10-15,19.0
University of Vermont Medical Center,VFNHP 5221,5221,2018N0301225,1825.0,62.0,Health Care and Social Assistance,"Burlington, VT",1800.0,2018-07-12,2018-07-13,2.0
Groden Center the,SEIU/NEHCEU 1199,1199,2018N0301238,65.0,62.0,Health Care and Social Assistance,"Providence, RI",65.0,2018-08-17,2018-08-17,1.0
Groden Center the,SEIU/NEHCEU 1199,1199,2018N0301238,65.0,62.0,Health Care and Social Assistance,"Providence, RI",65.0,2018-10-02,2018-10-04,3.0
UTC Aerospace Systems,IAMAW District 26 62A,62A,2018N0302011,200.0,31.0,Manufacturing,"Cheshire, CT",200.0,2018-09-17,2018-10-06,20.0
Highland Park Rehabilitation & Nursing Center,SEIU/UHWE 1199,1199,2018N0302317,59.0,62.0,Health Care and Social Assistance,"Wellsville, NY",60.0,2020-09-17,2020-09-19,3.0
Shore Memorial Hospital d,b/a Shore Medical Center/NYSNA Association ,,2018N0302439,329.0,62.0,Health Care and Social Assistance,"Somers Point, NJ",,2019-11-26,,5.0
Gradall Industries Inc.,IAMAW 1285,1285,2018N0400312,175.0,31.0,Manufacturing,"New Philadelphia, OH",175.0,2018-03-12,2018-04-08,28.0
Sheraton Maui Resort & Spa,Unite Here 5,5,2018N0400856,300.0,72.0,Accommodation and Food Services,"Lahaina, HI",300.0,2018-10-08,2018-11-27,51.0
The Moana Surfrider Hotel,Unite Here 5,5,2018N0400857,300.0,72.0,Accommodation and Food Services,"Honolulu, HI",300.0,2018-10-08,2018-11-27,51.0
Sheraton Waikiki Hotel,Unite Here 5,5,2018N0400870,1025.0,72.0,Accommodation and Food Services,"Honolulu, HI",1025.0,2018-10-08,2018-11-27,51.0
Royal Hawaiian Hotel,Unite Here 5,5,2018N0400871,450.0,72.0,Accommodation and Food Services,"Honolulu, HI",450.0,2018-10-08,2018-11-27,51.0
